timestamp,sleep_average_oxygen_saturation,lower_bound_oxygen_saturation,upper_bound_oxygen_saturation
2022-05-19 02:00:00+02:00,94.8,91.5,98.0
2022-05-20 02:00:00+02:00,95.4,92.5,97.1
2022-05-21 02:00:00+02:00,96.6,94.6,98.5
2022-05-22 02:00:00+02:00,95.5,91.5,99.0
2022-05-23 02:00:00+02:00,94.4,91.4,97.3
2022-05-24 02:00:00+02:00,94.5,92.9,95.8
2022-05-25 02:00:00+02:00,94.8,93.4,96.4
2022-05-26 02:00:00+02:00,95.5,93.5,97.4
2022-05-27 02:00:00+02:00,94.3,91.3,97.1
2022-05-28 02:00:00+02:00,92.9,90.3,95.0
2022-05-29 02:00:00+02:00,94.4,94.3,95.0
2022-05-30 02:00:00+02:00,95.2,93.4,97.4
2022-05-31 02:00:00+02:00,94.6,91.0,96.6
