timestamp,sleep_average_oxygen_saturation,lower_bound_oxygen_saturation,upper_bound_oxygen_saturation
2022-06-04 02:00:00+02:00,95.0,90.9,98.3
2022-06-05 02:00:00+02:00,95.6,91.5,97.6
2022-06-06 02:00:00+02:00,95.0,92.0,96.3
2022-06-07 02:00:00+02:00,96.1,93.0,98.6
2022-06-08 02:00:00+02:00,95.7,93.0,98.0
2022-06-09 02:00:00+02:00,95.0,92.0,97.0
2022-06-10 02:00:00+02:00,95.5,93.0,97.5
2022-06-11 02:00:00+02:00,96.7,95.5,98.9
2022-06-12 02:00:00+02:00,95.0,93.0,97.5
2022-06-13 02:00:00+02:00,95.9,94.4,96.9
2022-06-14 02:00:00+02:00,96.0,94.9,97.1
2022-06-15 02:00:00+02:00,94.7,92.6,96.5
2022-06-16 02:00:00+02:00,95.0,91.5,96.9
2022-06-17 02:00:00+02:00,95.3,92.8,98.0
2022-06-18 02:00:00+02:00,96.5,95.0,98.0
2022-06-19 02:00:00+02:00,95.9,94.4,97.9
2022-06-20 02:00:00+02:00,95.5,93.0,98.0
2022-06-21 02:00:00+02:00,95.8,93.3,97.6
2022-06-22 02:00:00+02:00,95.4,94.3,97.0
2022-06-23 02:00:00+02:00,96.1,95.1,97.0
