timestamp,sleep_average_oxygen_saturation,lower_bound_oxygen_saturation,upper_bound_oxygen_saturation
2022-05-19 02:00:00+02:00,95.7,92.0,97.9
2022-05-20 02:00:00+02:00,96.7,94.1,99.8
2022-05-21 02:00:00+02:00,95.9,93.8,98.4
2022-05-22 02:00:00+02:00,95.8,93.1,98.6
2022-05-23 02:00:00+02:00,95.9,91.8,99.6
2022-05-24 02:00:00+02:00,95.7,94.8,96.9
2022-05-25 02:00:00+02:00,95.1,92.6,97.5
2022-05-26 02:00:00+02:00,94.2,92.1,96.5
2022-05-27 02:00:00+02:00,95.2,91.5,97.8
2022-05-28 02:00:00+02:00,95.5,92.8,98.1
2022-05-29 02:00:00+02:00,94.7,93.0,96.8
2022-05-30 02:00:00+02:00,95.7,92.0,99.0
2022-05-31 02:00:00+02:00,95.0,90.8,98.0
2022-06-01 02:00:00+02:00,95.4,94.0,98.1
2022-06-02 02:00:00+02:00,95.3,92.0,98.3
