timestamp,sleep_average_oxygen_saturation,lower_bound_oxygen_saturation,upper_bound_oxygen_saturation
2022-05-25 02:00:00+02:00,93.8,90.3,97.0
2022-05-26 02:00:00+02:00,93.5,90.6,97.3
2022-05-28 02:00:00+02:00,94.7,92.5,98.3
2022-05-29 02:00:00+02:00,94.5,91.8,99.6
2022-05-30 02:00:00+02:00,93.0,89.5,97.5
2022-05-31 02:00:00+02:00,92.4,89.5,97.0
2022-06-01 02:00:00+02:00,91.6,90.9,92.5
2022-06-02 02:00:00+02:00,94.6,93.4,96.1
2022-06-03 02:00:00+02:00,94.8,93.5,96.6
2022-06-04 02:00:00+02:00,94.1,92.3,96.0
2022-06-05 02:00:00+02:00,93.8,90.9,98.0
2022-06-06 02:00:00+02:00,92.8,89.3,97.1
2022-06-07 02:00:00+02:00,93.8,90.0,98.8
