timestamp,sleep_average_oxygen_saturation,lower_bound_oxygen_saturation,upper_bound_oxygen_saturation
2022-06-03 02:00:00+02:00,94.5,93.3,95.8
2022-06-04 02:00:00+02:00,95.0,93.0,97.3
2022-06-05 02:00:00+02:00,94.2,91.4,97.5
2022-06-06 02:00:00+02:00,94.0,92.5,95.5
2022-06-07 02:00:00+02:00,94.5,91.3,96.6
2022-06-08 02:00:00+02:00,93.6,91.9,94.6
2022-06-09 02:00:00+02:00,94.5,91.1,97.3
2022-06-10 02:00:00+02:00,95.0,91.4,97.6
2022-06-11 02:00:00+02:00,94.2,92.5,96.5
2022-06-12 02:00:00+02:00,95.2,93.6,96.5
2022-06-13 02:00:00+02:00,94.3,91.5,96.9
2022-06-14 02:00:00+02:00,94.7,92.5,99.6
2022-06-15 02:00:00+02:00,95.3,94.0,97.9
2022-06-16 02:00:00+02:00,94.7,92.1,96.9
2022-06-17 02:00:00+02:00,93.9,92.0,95.4
2022-06-18 02:00:00+02:00,93.6,90.5,95.5
2022-06-19 02:00:00+02:00,93.1,90.8,96.8
2022-06-21 02:00:00+02:00,94.1,91.0,95.8
2022-06-23 02:00:00+02:00,94.6,92.1,96.3
