timestamp,sleep_average_oxygen_saturation,lower_bound_oxygen_saturation,upper_bound_oxygen_saturation
2022-06-08 02:00:00+02:00,93.2,89.5,95.9
2022-06-09 02:00:00+02:00,92.6,90.1,94.5
2022-06-10 02:00:00+02:00,92.4,90.0,94.5
2022-06-11 02:00:00+02:00,92.5,88.5,94.9
2022-06-12 02:00:00+02:00,94.1,93.4,94.9
2022-06-13 02:00:00+02:00,92.4,87.3,98.9
2022-06-14 02:00:00+02:00,93.1,90.8,94.5
2022-06-15 02:00:00+02:00,90.9,88.5,93.1
2022-06-16 02:00:00+02:00,94.1,92.5,95.6
2022-06-17 02:00:00+02:00,93.6,91.4,95.0
2022-06-18 02:00:00+02:00,94.5,92.0,97.0
2022-06-19 02:00:00+02:00,94.4,90.4,96.3
2022-06-20 02:00:00+02:00,94.5,91.6,96.3
2022-06-22 02:00:00+02:00,93.6,90.5,96.0
