timestamp,stress_score,sleep_points,responsiveness_points,exertion_points
2022-05-20 00:00:00+02:00,86,28,29,29
2022-05-21 00:00:00+02:00,83,26,29,28
2022-05-22 00:00:00+02:00,75,22,26,27
2022-05-23 00:00:00+02:00,86,30,27,29
2022-05-24 00:00:00+02:00,86,26,28,32
2022-05-25 00:00:00+02:00,77,21,25,31
2022-05-26 00:00:00+02:00,75,19,25,31
2022-05-27 00:00:00+02:00,74,23,23,28
2022-05-28 00:00:00+02:00,74,21,27,26
2022-05-29 00:00:00+02:00,70,19,23,28
2022-05-30 00:00:00+02:00,84,29,27,28
2022-05-31 00:00:00+02:00,77,22,27,28
