timestamp,stress_score,sleep_points,responsiveness_points,exertion_points
2022-06-05 00:00:00+02:00,79,24,28,27
2022-06-06 00:00:00+02:00,74,23,29,22
2022-06-07 00:00:00+02:00,86,27,26,33
2022-06-08 00:00:00+02:00,79,25,18,36
2022-06-09 00:00:00+02:00,71,21,19,31
2022-06-10 00:00:00+02:00,81,22,27,32
2022-06-11 00:00:00+02:00,86,27,28,31
2022-06-12 00:00:00+02:00,81,24,26,31
2022-06-13 00:00:00+02:00,77,24,23,30
2022-06-14 00:00:00+02:00,84,24,25,35
2022-06-15 00:00:00+02:00,82,26,25,31
2022-06-16 00:00:00+02:00,83,25,26,32
2022-06-17 00:00:00+02:00,77,25,19,33
2022-06-18 00:00:00+02:00,79,26,22,31
2022-06-19 00:00:00+02:00,76,23,24,29
2022-06-20 00:00:00+02:00,76,22,24,30
2022-06-21 00:00:00+02:00,87,28,26,33
2022-06-22 00:00:00+02:00,82,26,27,29
2022-06-23 00:00:00+02:00,80,27,22,31
