timestamp,stress_score,sleep_points,responsiveness_points,exertion_points
2022-06-04 00:00:00+02:00,70,25,22,23
2022-06-05 00:00:00+02:00,59,16,25,18
2022-06-06 00:00:00+02:00,66,25,23,18
2022-06-07 00:00:00+02:00,69,23,17,29
2022-06-08 00:00:00+02:00,69,22,18,29
2022-06-09 00:00:00+02:00,71,24,19,28
2022-06-10 00:00:00+02:00,79,21,19,39
2022-06-11 00:00:00+02:00,71,15,23,33
2022-06-12 00:00:00+02:00,79,22,26,31
2022-06-13 00:00:00+02:00,74,22,20,32
2022-06-14 00:00:00+02:00,79,25,20,34
2022-06-15 00:00:00+02:00,74,26,16,32
2022-06-16 00:00:00+02:00,80,24,18,38
2022-06-17 00:00:00+02:00,77,28,15,34
2022-06-18 00:00:00+02:00,72,20,20,32
2022-06-19 00:00:00+02:00,76,19,26,31
2022-06-20 00:00:00+02:00,75,19,26,30
2022-06-21 00:00:00+02:00,82,25,28,29
2022-06-22 00:00:00+02:00,73,17,27,29
