sleep_id,start_time,end_time,duration,minutes_asleep,minutes_awake,minutes_in_bed,main_sleep,minutes_in_deep_sleep,minutes_in_light_sleep,minutes_in_rem
36936862722,2022-05-17 23:54:00+02:00,2022-05-18 06:11:30+02:00,377.0,334,43,377,True,79,173,82
36939824687,2022-05-18 18:23:00+02:00,2022-05-18 19:35:00+02:00,72.0,61,11,72,False,NA,NA,NA
36941351192,2022-05-18 23:47:00+02:00,2022-05-19 06:21:30+02:00,394.0,323,71,394,True,82,168,73
36955643747,2022-05-19 23:46:00+02:00,2022-05-20 05:56:30+02:00,370.0,335,35,370,True,64,220,51
36969076668,2022-05-20 23:18:00+02:00,2022-05-21 09:34:30+02:00,616.0,549,67,616,True,132,294,123
37000590746,2022-05-22 23:37:00+02:00,2022-05-23 05:50:30+02:00,373.0,327,46,373,True,50,224,53
37004211913,2022-05-24 00:03:00+02:00,2022-05-24 05:37:30+02:00,334.0,301,33,334,True,56,190,55
37016366167,2022-05-24 22:40:00+02:00,2022-05-25 05:34:30+02:00,414.0,364,50,414,True,72,249,43
37028585461,2022-05-25 19:44:00+02:00,2022-05-25 20:44:00+02:00,60.0,56,4,60,False,NA,NA,NA
37028585462,2022-05-25 23:14:30+02:00,2022-05-26 06:14:30+02:00,420.0,377,43,420,True,75,227,75
37041920253,2022-05-26 23:45:00+02:00,2022-05-27 05:37:30+02:00,352.0,316,36,352,True,73,127,116
37056409087,2022-05-27 23:23:00+02:00,2022-05-28 10:30:30+02:00,667.0,562,105,667,True,110,374,78
37066632994,2022-05-29 00:27:00+02:00,2022-05-29 09:45:30+02:00,558.0,481,77,558,True,72,353,56
37087884804,2022-05-29 13:35:30+02:00,2022-05-29 14:42:00+02:00,66.0,64,2,66,False,NA,NA,NA
37087884805,2022-05-30 02:35:00+02:00,2022-05-30 09:03:30+02:00,388.0,314,74,388,True,40,255,19
37087884806,2022-05-30 12:22:30+02:00,2022-05-30 16:41:30+02:00,259.0,215,44,259,False,0,199,16
37087884807,2022-05-30 18:28:30+02:00,2022-05-30 19:41:30+02:00,73.0,63,10,73,False,NA,NA,NA
37091770260,2022-05-30 22:39:30+02:00,2022-05-31 05:57:30+02:00,438.0,375,63,438,True,72,230,73
37103523296,2022-06-01 00:30:00+02:00,2022-06-01 05:21:00+02:00,291.0,257,34,291,True,49,164,44
