timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-06-06 00:00:00+02:00,32,4,0,1250,106,18,66
2022-06-07 00:00:00+02:00,25,0,0,682,283,33,44
2022-06-08 00:00:00+02:00,1,0,0,779,246,15,11
2022-06-09 00:00:00+02:00,1,0,0,754,201,21,9
2022-06-10 00:00:00+02:00,1,0,0,813,227,0,0
2022-06-11 00:00:00+02:00,51,16,0,499,261,30,43
2022-06-12 00:00:00+02:00,20,0,0,723,296,13,47
2022-06-13 00:00:00+02:00,8,0,0,725,304,33,23
2022-06-15 00:00:00+02:00,1,0,0,712,293,15,5
2022-06-16 00:00:00+02:00,28,0,0,653,271,60,14
2022-06-17 00:00:00+02:00,1,0,0,731,198,42,6
2022-06-18 00:00:00+02:00,139,8,0,625,170,128,68
2022-06-19 00:00:00+02:00,7,8,0,857,190,11,24
2022-06-21 00:00:00+02:00,5,0,0,864,151,15,13
2022-06-22 00:00:00+02:00,1,0,0,1043,43,0,0
