timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-06-01 00:00:00+02:00,31,178,0,1197,112,8,123
2022-06-02 00:00:00+02:00,60,80,0,642,158,51,106
2022-06-03 00:00:00+02:00,48,58,0,730,149,25,116
2022-06-04 00:00:00+02:00,1,0,0,637,313,25,7
2022-06-05 00:00:00+02:00,36,74,0,597,238,10,77
2022-06-06 00:00:00+02:00,67,116,0,732,138,39,149
2022-06-07 00:00:00+02:00,30,68,2,734,158,35,107
2022-06-08 00:00:00+02:00,3,0,0,766,192,0,0
2022-06-09 00:00:00+02:00,9,0,0,831,194,3,41
2022-06-10 00:00:00+02:00,36,54,0,679,167,48,92
2022-06-11 00:00:00+02:00,21,30,0,482,355,9,28
2022-06-12 00:00:00+02:00,4,6,0,675,208,0,0
2022-06-13 00:00:00+02:00,25,0,0,696,182,74,92
2022-06-14 00:00:00+02:00,39,66,0,820,144,23,107
2022-06-16 00:00:00+02:00,170,238,0,509,155,49,282
2022-06-18 00:00:00+02:00,27,60,4,509,203,23,69
2022-06-19 00:00:00+02:00,43,72,0,500,256,49,84
