timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-06-07 00:00:00+02:00,1,0,0,1255,165,11,9
2022-06-09 00:00:00+02:00,7,0,0,694,296,0,0
2022-06-10 00:00:00+02:00,26,6,0,726,373,7,14
2022-06-11 00:00:00+02:00,44,6,0,514,315,69,47
2022-06-12 00:00:00+02:00,12,4,0,713,378,39,18
2022-06-13 00:00:00+02:00,21,2,0,603,317,8,15
2022-06-14 00:00:00+02:00,6,0,0,692,263,0,0
2022-06-15 00:00:00+02:00,1,0,0,601,285,0,0
2022-06-16 00:00:00+02:00,9,0,0,706,238,0,0
2022-06-17 00:00:00+02:00,19,0,0,765,324,15,15
2022-06-18 00:00:00+02:00,19,0,0,512,376,13,20
2022-06-19 00:00:00+02:00,8,4,0,539,309,19,15
2022-06-20 00:00:00+02:00,4,0,0,503,394,7,1
2022-06-21 00:00:00+02:00,18,0,0,727,321,23,17
2022-06-22 00:00:00+02:00,8,0,0,947,33,3,10
