timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-06-03 00:00:00+02:00,12,0,0,1048,303,2,8
2022-06-04 00:00:00+02:00,20,0,0,561,327,17,5
2022-06-05 00:00:00+02:00,1,0,0,429,280,19,0
2022-06-07 00:00:00+02:00,2,0,0,549,307,6,1
2022-06-09 00:00:00+02:00,1,0,0,599,309,0,0
2022-06-11 00:00:00+02:00,18,0,0,471,277,38,6
2022-06-13 00:00:00+02:00,1,0,0,725,262,7,1
2022-06-14 00:00:00+02:00,2,0,0,965,326,8,0
2022-06-16 00:00:00+02:00,1,0,0,872,116,0,0
2022-06-21 00:00:00+02:00,3,0,0,670,210,0,0
2022-06-22 00:00:00+02:00,9,0,0,570,195,8,0
