timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-06-04 00:00:00+02:00,9,4,0,609,282,29,26
2022-06-05 00:00:00+02:00,7,0,0,664,208,31,36
2022-06-08 00:00:00+02:00,11,0,0,508,345,38,56
2022-06-10 00:00:00+02:00,1,0,0,667,234,9,15
2022-06-11 00:00:00+02:00,2,0,0,577,312,33,6
2022-06-12 00:00:00+02:00,2,0,0,652,330,57,43
2022-06-14 00:00:00+02:00,1,0,0,471,377,0,0
2022-06-15 00:00:00+02:00,4,0,0,506,333,57,10
2022-06-16 00:00:00+02:00,13,4,0,535,301,21,61
2022-06-19 00:00:00+02:00,9,2,0,717,244,28,23
2022-06-20 00:00:00+02:00,6,0,0,517,316,49,63
2022-06-21 00:00:00+02:00,3,0,0,377,68,0,0
