timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-06-06 00:00:00+02:00,51,6,0,1230,146,43,21
2022-06-07 00:00:00+02:00,3,0,0,834,211,0,0
2022-06-08 00:00:00+02:00,1,0,0,751,250,0,0
2022-06-12 00:00:00+02:00,1,0,0,744,166,0,0
2022-06-13 00:00:00+02:00,26,0,0,778,216,26,17
2022-06-14 00:00:00+02:00,14,0,0,737,224,17,17
2022-06-16 00:00:00+02:00,2,0,0,749,159,0,0
2022-06-17 00:00:00+02:00,1,0,0,708,229,0,0
2022-06-18 00:00:00+02:00,2,0,0,855,82,0,0
2022-06-20 00:00:00+02:00,1,0,0,694,199,0,0
2022-06-23 00:00:00+02:00,6,0,0,293,67,0,0
