timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-05-18 00:00:00+02:00,79,12,0,1135,182,47,76
2022-05-19 00:00:00+02:00,4,0,0,185,245,33,81
2022-05-20 00:00:00+02:00,5,0,0,668,93,5,23
2022-05-21 00:00:00+02:00,4,0,0,304,306,23,34
2022-05-22 00:00:00+02:00,11,2,0,105,245,10,1
2022-05-24 00:00:00+02:00,1,0,0,123,190,22,40
2022-05-25 00:00:00+02:00,11,0,0,74,222,62,74
2022-05-26 00:00:00+02:00,6,0,0,144,107,17,25
2022-05-28 00:00:00+02:00,138,6,0,397,299,169,123
2022-05-31 00:00:00+02:00,2,0,0,336,38,0,0
