timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-06-06 00:00:00+02:00,36,8,0,1095,292,14,39
2022-06-07 00:00:00+02:00,11,0,0,562,442,15,5
2022-06-08 00:00:00+02:00,22,4,0,553,388,17,20
2022-06-09 00:00:00+02:00,12,0,0,600,381,0,10
2022-06-10 00:00:00+02:00,99,22,0,632,220,62,99
2022-06-11 00:00:00+02:00,5,2,0,532,398,63,13
2022-06-12 00:00:00+02:00,62,76,2,518,293,43,97
2022-06-13 00:00:00+02:00,27,0,0,607,453,6,25
2022-06-14 00:00:00+02:00,8,0,0,557,376,9,12
2022-06-16 00:00:00+02:00,4,0,0,631,358,15,7
2022-06-17 00:00:00+02:00,130,26,0,533,338,44,132
2022-06-18 00:00:00+02:00,17,0,0,578,455,24,5
2022-06-20 00:00:00+02:00,21,0,0,731,306,18,24
