timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-06-02 00:00:00+02:00,22,0,0,1175,242,4,19
2022-06-03 00:00:00+02:00,19,0,0,709,277,26,10
2022-06-04 00:00:00+02:00,35,0,0,700,312,44,24
2022-06-05 00:00:00+02:00,21,4,0,628,230,15,16
2022-06-06 00:00:00+02:00,29,0,0,697,168,27,21
2022-06-07 00:00:00+02:00,83,30,0,770,206,43,39
2022-06-08 00:00:00+02:00,49,4,0,769,228,32,44
2022-06-09 00:00:00+02:00,10,8,0,815,243,18,10
2022-06-10 00:00:00+02:00,73,16,0,554,206,100,44
2022-06-11 00:00:00+02:00,26,6,0,629,246,30,31
2022-06-12 00:00:00+02:00,10,0,0,481,310,27,30
2022-06-13 00:00:00+02:00,38,24,0,791,262,33,44
2022-06-14 00:00:00+02:00,54,20,0,706,304,33,50
2022-06-15 00:00:00+02:00,22,2,0,737,234,18,22
2022-06-16 00:00:00+02:00,13,0,0,771,282,9,6
2022-06-17 00:00:00+02:00,11,0,0,731,272,20,1
2022-06-18 00:00:00+02:00,20,0,0,743,329,29,27
2022-06-19 00:00:00+02:00,3,0,0,605,216,8,28
2022-06-20 00:00:00+02:00,11,0,0,685,268,7,20
2022-06-21 00:00:00+02:00,23,0,0,620,366,16,12
2022-06-22 00:00:00+02:00,3,2,0,801,285,0,0
2022-06-23 00:00:00+02:00,10,0,0,240,45,35,2
