timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-05-18 00:00:00+02:00,7,0,0,1212,205,3,7
2022-05-19 00:00:00+02:00,59,38,16,80,218,51,75
2022-05-20 00:00:00+02:00,38,56,0,273,177,32,54
2022-05-21 00:00:00+02:00,15,0,0,273,152,28,58
2022-05-22 00:00:00+02:00,5,0,0,265,173,0,0
2022-05-23 00:00:00+02:00,3,0,0,245,147,4,6
2022-05-24 00:00:00+02:00,19,50,0,348,107,16,55
2022-05-25 00:00:00+02:00,22,0,0,282,143,19,80
2022-05-26 00:00:00+02:00,24,10,0,231,236,10,23
2022-05-27 00:00:00+02:00,62,6,0,265,193,42,44
2022-05-28 00:00:00+02:00,20,2,0,134,195,15,16
2022-05-29 00:00:00+02:00,81,18,0,0,197,133,70
2022-05-30 00:00:00+02:00,17,0,0,500,157,13,15
2022-05-31 00:00:00+02:00,2,0,0,354,160,5,6
2022-06-01 00:00:00+02:00,16,0,0,345,153,7,11
2022-06-02 00:00:00+02:00,10,4,0,394,75,5,7
