timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-06-07 00:00:00+02:00,35,14,0,1194,163,37,46
2022-06-08 00:00:00+02:00,27,8,0,885,127,11,24
2022-06-09 00:00:00+02:00,4,0,0,761,291,0,0
2022-06-11 00:00:00+02:00,15,0,0,606,267,82,30
2022-06-12 00:00:00+02:00,11,0,0,514,269,30,32
2022-06-13 00:00:00+02:00,25,2,0,819,194,10,28
2022-06-14 00:00:00+02:00,31,0,0,609,221,27,44
2022-06-15 00:00:00+02:00,25,28,0,779,183,40,45
2022-06-16 00:00:00+02:00,2,0,0,735,213,4,25
2022-06-17 00:00:00+02:00,1,0,0,743,185,17,0
2022-06-18 00:00:00+02:00,17,0,0,728,187,33,72
2022-06-19 00:00:00+02:00,6,0,0,652,156,23,52
2022-06-20 00:00:00+02:00,23,6,0,921,162,14,24
2022-06-21 00:00:00+02:00,11,0,0,683,262,20,45
