timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-05-20 00:00:00+02:00,2,0,0,1082,358,0,0
2022-05-21 00:00:00+02:00,2,0,0,185,471,1,9
2022-05-22 00:00:00+02:00,3,0,0,3,442,11,7
2022-05-23 00:00:00+02:00,2,0,0,130,475,0,0
2022-05-25 00:00:00+02:00,9,0,0,0,398,10,15
2022-05-27 00:00:00+02:00,3,0,0,246,315,4,0
2022-05-28 00:00:00+02:00,2,0,0,201,326,6,2
2022-05-30 00:00:00+02:00,3,4,0,0,386,7,1
2022-06-01 00:00:00+02:00,10,10,0,93,460,7,1
2022-06-02 00:00:00+02:00,3,0,0,294,381,7,15
2022-06-04 00:00:00+02:00,4,0,0,22,189,10,9
2022-06-05 00:00:00+02:00,5,0,0,0,283,30,18
2022-06-06 00:00:00+02:00,14,0,0,511,124,9,6
