timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-06-02 00:00:00+02:00,10,0,0,1286,135,9,10
2022-06-03 00:00:00+02:00,1,0,0,490,376,12,30
2022-06-04 00:00:00+02:00,36,2,0,575,321,19,17
2022-06-05 00:00:00+02:00,14,0,0,624,313,18,5
2022-06-06 00:00:00+02:00,15,0,0,801,169,15,28
2022-06-07 00:00:00+02:00,14,6,0,725,316,0,0
2022-06-08 00:00:00+02:00,38,4,0,631,217,19,28
2022-06-09 00:00:00+02:00,16,0,0,592,343,9,13
2022-06-10 00:00:00+02:00,27,2,0,767,202,12,25
2022-06-11 00:00:00+02:00,24,0,0,566,194,78,135
2022-06-12 00:00:00+02:00,1,0,0,1131,15,4,6
2022-06-13 00:00:00+02:00,17,2,0,1112,194,12,28
2022-06-14 00:00:00+02:00,17,0,0,705,253,12,9
2022-06-15 00:00:00+02:00,44,0,0,773,208,37,13
2022-06-16 00:00:00+02:00,85,4,0,630,263,29,36
2022-06-17 00:00:00+02:00,26,6,0,718,252,13,38
2022-06-18 00:00:00+02:00,48,0,0,658,241,13,1
2022-06-19 00:00:00+02:00,4,0,0,761,110,0,0
2022-06-20 00:00:00+02:00,4,0,0,817,172,0,0
2022-06-21 00:00:00+02:00,23,4,0,1156,148,15,32
2022-06-22 00:00:00+02:00,1,0,0,1413,27,0,0
