timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-06-02 00:00:00+02:00,2,0,0,1100,328,11,1
2022-06-03 00:00:00+02:00,5,0,0,531,455,10,14
2022-06-04 00:00:00+02:00,15,0,0,563,375,36,21
2022-06-05 00:00:00+02:00,28,0,0,669,476,57,30
2022-06-06 00:00:00+02:00,12,6,0,551,384,50,27
2022-06-07 00:00:00+02:00,9,2,0,551,303,35,24
2022-06-08 00:00:00+02:00,1,0,0,435,453,45,43
2022-06-10 00:00:00+02:00,12,0,0,434,486,66,13
2022-06-12 00:00:00+02:00,7,0,0,1063,347,12,18
2022-06-13 00:00:00+02:00,1,0,0,597,384,24,22
2022-06-14 00:00:00+02:00,5,2,0,602,369,15,12
2022-06-15 00:00:00+02:00,5,0,0,448,495,20,6
2022-06-16 00:00:00+02:00,98,12,0,421,298,183,50
2022-06-17 00:00:00+02:00,2,0,0,1000,433,4,3
2022-06-18 00:00:00+02:00,3,0,0,498,455,19,17
2022-06-20 00:00:00+02:00,16,0,0,1398,42,0,0
