timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-05-17 00:00:00+02:00,27,0,0,1104,134,9,57
2022-05-18 00:00:00+02:00,3,0,0,333,212,7,16
2022-05-19 00:00:00+02:00,21,0,0,10,280,16,50
2022-05-22 00:00:00+02:00,25,0,0,170,243,22,49
2022-05-23 00:00:00+02:00,34,0,0,214,160,10,74
2022-05-24 00:00:00+02:00,11,0,0,265,269,24,60
2022-05-25 00:00:00+02:00,9,0,0,172,281,10,31
2022-05-26 00:00:00+02:00,1,0,0,208,252,13,9
2022-05-27 00:00:00+02:00,5,0,0,78,270,0,0
2022-05-29 00:00:00+02:00,22,0,0,284,178,46,102
2022-05-30 00:00:00+02:00,13,0,0,232,165,12,57
