timestamp,fat_burn_minutes,cardio_minutes,peak_minutes,sedentary_minutes,lightly_active_minutes,moderately_active_minutes,very_active_minutes
2022-06-03 00:00:00+02:00,17,0,0,575,380,31,22
2022-06-04 00:00:00+02:00,15,16,0,690,259,28,38
2022-06-05 00:00:00+02:00,21,0,0,566,392,42,17
2022-06-06 00:00:00+02:00,21,6,0,677,269,22,21
2022-06-07 00:00:00+02:00,14,0,0,529,435,17,36
2022-06-09 00:00:00+02:00,43,30,0,443,424,59,66
2022-06-10 00:00:00+02:00,19,10,0,489,337,36,34
2022-06-11 00:00:00+02:00,8,0,0,547,408,30,4
2022-06-12 00:00:00+02:00,15,8,0,420,282,68,18
2022-06-13 00:00:00+02:00,55,2,0,434,475,38,32
2022-06-14 00:00:00+02:00,15,0,0,545,437,44,41
2022-06-15 00:00:00+02:00,21,16,0,517,428,21,24
2022-06-16 00:00:00+02:00,31,30,0,424,511,20,28
2022-06-17 00:00:00+02:00,31,8,0,603,360,31,28
2022-06-18 00:00:00+02:00,5,0,0,731,230,51,24
2022-06-19 00:00:00+02:00,31,0,0,638,347,27,43
2022-06-20 00:00:00+02:00,39,0,0,573,328,46,40
