start_sleep,end_sleep,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
2022-05-21 01:15:00+02:00,2022-05-21 06:34:00+02:00,319,33.29,153.54,271.86,0.3,0.79
2022-05-22 00:28:00+02:00,2022-05-22 08:51:00+02:00,503,32.89,20.76,105.9,0.25,0.64
2022-05-23 00:24:30+02:00,2022-05-23 06:26:30+02:00,362,32.81,-0.0,262.79,0.22,0.72
2022-05-24 22:51:30+02:00,2022-05-25 06:57:30+02:00,486,33.53,331.1,1097.64,0.32,0.97
2022-05-26 00:56:30+02:00,2022-05-26 06:53:30+02:00,357,32.73,-27.14,891.35,0.31,1.11
2022-05-27 01:01:00+02:00,2022-05-27 07:58:30+02:00,418,33.04,82.0,650.46,0.29,1.14
2022-05-27 23:53:00+02:00,2022-05-28 08:54:00+02:00,541,32.47,-185.06,472.19,0.32,1.11
2022-05-29 02:11:00+02:00,2022-05-29 05:25:30+02:00,191,34.44,303.44,622.27,0.57,1.15
2022-05-31 00:53:00+02:00,2022-05-31 07:08:30+02:00,376,32.73,-29.53,133.32,0.55,1.11
2022-06-01 02:03:30+02:00,2022-06-01 08:16:30+02:00,373,33.36,192.37,391.93,0.53,1.1
2022-06-01 02:03:30+02:00,2022-06-01 08:16:30+02:00,373,33.36,192.37,391.93,0.53,1.1
2022-06-01 23:12:00+02:00,2022-06-02 06:41:30+02:00,443,33.34,200.26,888.01,0.51,1.13
