start_sleep,end_sleep,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
2022-06-06 01:59:30+02:00,2022-06-06 09:20:00+02:00,440,33.52,-53.96,419.69,0.38,0.97
2022-06-06 23:50:30+02:00,2022-06-07 09:27:30+02:00,577,34.46,297.71,487.77,0.45,0.91
2022-06-08 01:34:30+02:00,2022-06-08 09:28:30+02:00,474,34.31,37.48,487.89,0.42,0.95
2022-06-09 00:51:30+02:00,2022-06-09 09:43:30+02:00,532,34.49,113.49,364.07,0.42,0.91
2022-06-10 02:03:00+02:00,2022-06-10 09:25:00+02:00,442,34.07,-73.85,192.19,0.38,0.88
2022-06-11 01:03:00+02:00,2022-06-11 09:35:00+02:00,512,34.31,19.87,358.67,0.36,0.87
2022-06-12 02:02:00+02:00,2022-06-12 09:24:30+02:00,443,34.95,284.57,317.76,0.44,0.86
2022-06-13 00:05:00+02:00,2022-06-13 07:30:00+02:00,445,34.43,50.47,73.81,0.42,0.82
2022-06-14 23:59:30+02:00,2022-06-15 07:50:30+02:00,471,34.5,89.6,375.6,0.4,0.82
2022-06-16 01:26:30+02:00,2022-06-16 08:59:00+02:00,452,34.66,129.46,286.72,0.4,0.82
2022-06-23 01:19:30+02:00,2022-06-23 09:01:30+02:00,462,32.81,-219.35,785.19,0.31,1.22
