start_sleep,end_sleep,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
2022-05-20 01:38:30+02:00,2022-05-20 07:22:30+02:00,344,33.66,0.0,78.04,0.15,0.48
2022-05-21 02:20:00+02:00,2022-05-21 07:02:30+02:00,283,33.81,34.8,105.86,0.16,0.54
2022-05-22 03:12:30+02:00,2022-05-22 10:04:30+02:00,412,33.23,-177.62,260.45,0.24,0.64
2022-05-23 01:34:00+02:00,2022-05-23 08:00:30+02:00,387,33.44,-42.35,227.04,0.22,0.67
2022-05-24 02:12:00+02:00,2022-05-24 09:15:00+02:00,423,33.29,-62.42,271.29,0.22,0.7
2022-05-25 01:21:30+02:00,2022-05-25 08:42:30+02:00,431,33.57,28.53,237.95,0.21,0.71
2022-05-26 01:07:00+02:00,2022-05-26 08:19:00+02:00,432,32.53,-390.18,871.65,0.38,0.84
2022-05-27 00:18:30+02:00,2022-05-27 08:08:30+02:00,459,32.61,-377.08,838.94,0.44,0.9
2022-05-28 00:46:00+02:00,2022-05-28 08:39:30+02:00,474,33.73,137.68,216.36,0.43,0.89
2022-05-29 03:13:30+02:00,2022-05-29 09:42:30+02:00,389,34.23,283.18,294.09,0.48,0.91
2022-05-30 00:33:00+02:00,2022-05-30 08:47:30+02:00,494,33.87,148.95,322.64,0.48,0.9
2022-05-31 01:32:30+02:00,2022-05-31 07:59:00+02:00,386,33.34,-62.23,224.4,0.46,0.89
