start_sleep,end_sleep,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
2022-06-05 23:46:30+02:00,2022-06-06 08:47:30+02:00,527,32.25,-41.23,54.37,0.3,0.31
2022-06-06 23:47:30+02:00,2022-06-07 08:23:30+02:00,516,32.69,93.63,228.66,0.27,0.52
2022-06-07 23:46:30+02:00,2022-06-08 07:59:30+02:00,483,32.46,0.0,129.65,0.24,0.52
2022-06-08 23:24:00+02:00,2022-06-09 08:00:30+02:00,515,32.91,172.03,147.87,0.27,0.51
2022-06-09 23:44:30+02:00,2022-06-10 08:19:30+02:00,510,32.63,0.0,236.64,0.25,0.55
2022-06-10 23:45:00+02:00,2022-06-11 08:17:30+02:00,500,33.06,196.55,159.31,0.28,0.54
2022-06-12 02:12:00+02:00,2022-06-12 08:10:30+02:00,353,33.57,310.4,559.63,0.41,0.63
2022-06-13 00:21:00+02:00,2022-06-13 08:01:00+02:00,460,33.24,226.11,224.1,0.41,0.62
2022-06-13 22:31:30+02:00,2022-06-14 08:23:30+02:00,569,33.57,433.36,465.27,0.46,0.63
2022-06-14 23:24:30+02:00,2022-06-15 08:18:30+02:00,532,33.53,359.75,412.55,0.48,0.63
2022-06-15 23:26:30+02:00,2022-06-16 08:08:30+02:00,522,34.11,625.46,844.37,0.56,0.67
2022-06-17 00:08:00+02:00,2022-06-17 08:16:30+02:00,476,33.69,335.07,342.97,0.57,0.66
2022-06-18 03:49:00+02:00,2022-06-18 08:40:30+02:00,291,33.56,146.56,82.34,0.56,0.64
2022-06-18 23:49:30+02:00,2022-06-19 06:57:30+02:00,424,33.72,242.16,255.09,0.57,0.64
2022-06-19 23:54:00+02:00,2022-06-20 08:09:30+02:00,496,33.25,6.36,158.0,0.55,0.64
2022-06-20 23:53:00+02:00,2022-06-21 07:40:30+02:00,464,32.68,-218.18,292.66,0.54,0.68
