start_sleep,end_sleep,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
2022-06-10 00:16:30+02:00,2022-06-10 06:08:30+02:00,352,34.58,-33.33,551.9,0.08,1.25
2022-06-11 00:45:00+02:00,2022-06-11 08:20:00+02:00,455,33.39,-563.92,1610.92,0.64,1.46
2022-06-12 00:10:30+02:00,2022-06-12 10:06:00+02:00,595,34.6,0.0,775.41,0.57,1.38
2022-06-13 00:25:00+02:00,2022-06-13 06:54:30+02:00,390,33.94,-255.35,489.26,0.54,1.3
2022-06-13 23:11:00+02:00,2022-06-14 06:50:30+02:00,460,34.99,179.45,252.42,0.55,1.24
2022-06-14 23:34:30+02:00,2022-06-15 06:07:30+02:00,393,35.1,179.83,244.21,0.57,1.2
2022-06-15 22:22:30+02:00,2022-06-16 06:05:30+02:00,451,35.23,250.8,303.93,0.58,1.17
2022-06-17 00:14:30+02:00,2022-06-17 07:22:00+02:00,427,34.61,-14.49,219.35,0.55,1.12
2022-06-18 00:33:00+02:00,2022-06-18 05:00:30+02:00,268,34.5,-29.61,109.24,0.52,1.09
2022-06-18 23:58:00+02:00,2022-06-19 09:15:00+02:00,557,33.92,-382.53,772.54,0.53,1.1
2022-06-20 00:42:30+02:00,2022-06-20 06:01:30+02:00,319,33.93,-213.24,386.25,0.54,1.09
2022-06-20 22:39:00+02:00,2022-06-21 05:49:00+02:00,430,34.35,-104.16,194.4,0.52,1.06
2022-06-21 23:36:00+02:00,2022-06-22 04:52:30+02:00,317,34.3,-90.21,149.67,0.5,1.04
