start_sleep,end_sleep,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
2022-05-21 15:40:00+02:00,2022-05-21 19:06:00+02:00,206,34.72,146.35,227.07,0.56,0.77
2022-05-22 00:00:00+02:00,2022-05-22 07:44:00+02:00,464,35.31,437.94,572.1,0.75,0.66
2022-05-23 00:11:00+02:00,2022-05-23 07:08:00+02:00,417,34.27,0.0,155.37,0.66,0.77
2022-05-24 00:08:30+02:00,2022-05-24 07:42:30+02:00,454,33.89,-113.62,123.41,0.62,0.78
2022-05-25 01:53:00+02:00,2022-05-25 07:43:30+02:00,351,35.43,406.82,591.24,0.71,0.82
2022-05-25 23:31:00+02:00,2022-05-26 07:38:00+02:00,487,32.92,-593.98,851.98,0.85,1.02
2022-05-27 01:50:30+02:00,2022-05-27 08:14:30+02:00,382,33.34,-256.45,629.67,0.86,1.07
2022-05-28 00:21:00+02:00,2022-05-28 08:08:30+02:00,464,34.35,97.34,409.18,0.81,1.05
2022-05-29 02:03:00+02:00,2022-05-29 08:00:30+02:00,357,33.79,-78.82,216.73,0.78,1.03
2022-05-30 00:13:00+02:00,2022-05-30 08:00:30+02:00,468,33.99,-5.22,186.24,0.74,0.99
2022-05-31 01:29:30+02:00,2022-05-31 07:59:30+02:00,390,33.61,-149.57,342.33,0.73,0.98
2022-06-01 01:16:30+02:00,2022-06-01 07:42:30+02:00,386,34.02,5.79,130.65,0.7,0.96
2022-06-01 01:16:30+02:00,2022-06-01 07:42:30+02:00,386,34.02,5.79,130.65,0.7,0.96
