start_sleep,end_sleep,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
2022-06-09 01:51:00+02:00,2022-06-09 09:09:30+02:00,434,33.56,0.0,176.73,0.15,0.64
2022-06-10 01:30:30+02:00,2022-06-10 08:03:30+02:00,393,33.27,-83.55,413.38,0.19,0.84
2022-06-11 02:02:00+02:00,2022-06-11 08:43:30+02:00,402,34.03,191.66,228.14,0.3,0.81
2022-06-12 02:03:00+02:00,2022-06-12 08:21:30+02:00,379,34.66,392.62,713.03,0.51,0.93
2022-06-13 00:35:00+02:00,2022-06-13 08:32:00+02:00,477,33.51,-25.06,321.84,0.48,0.91
2022-06-14 02:14:00+02:00,2022-06-14 08:35:30+02:00,382,33.96,125.42,159.1,0.45,0.87
2022-06-15 01:19:00+02:00,2022-06-15 08:02:30+02:00,404,34.24,217.33,365.54,0.45,0.86
2022-06-16 00:32:00+02:00,2022-06-16 10:49:30+02:00,618,34.35,323.04,293.29,0.46,0.81
2022-06-17 00:12:00+02:00,2022-06-17 08:07:00+02:00,475,34.42,218.46,280.16,0.46,0.79
2022-06-18 02:57:30+02:00,2022-06-18 08:43:30+02:00,346,33.85,-18.67,242.58,0.44,0.8
2022-06-19 00:45:00+02:00,2022-06-19 08:28:30+02:00,464,32.9,-440.45,1052.83,0.51,0.92
2022-06-19 23:41:30+02:00,2022-06-20 08:25:30+02:00,524,31.4,-1242.46,3181.89,0.81,1.18
2022-06-21 01:26:00+02:00,2022-06-21 08:32:30+02:00,427,33.76,-0.0,273.71,0.78,1.16
