start_sleep,end_sleep,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
2022-06-05 01:08:00+02:00,2022-06-05 07:54:30+02:00,407,33.88,0.0,218.07,0.19,0.73
2022-06-06 00:35:30+02:00,2022-06-06 07:36:30+02:00,417,33.82,-12.15,357.63,0.16,0.84
2022-06-06 23:40:00+02:00,2022-06-07 06:49:00+02:00,429,33.97,40.8,181.69,0.15,0.78
2022-06-08 00:23:30+02:00,2022-06-08 07:13:00+02:00,409,34.15,93.49,149.52,0.18,0.74
2022-06-09 00:48:00+02:00,2022-06-09 06:53:30+02:00,366,33.65,-84.0,61.39,0.19,0.69
2022-06-09 23:00:30+02:00,2022-06-10 06:20:00+02:00,439,34.43,222.71,263.46,0.27,0.7
2022-06-10 23:53:00+02:00,2022-06-11 06:16:30+02:00,384,34.8,318.3,372.7,0.38,0.72
2022-06-12 01:44:00+02:00,2022-06-12 07:59:00+02:00,375,34.23,94.72,135.58,0.37,0.7
2022-06-13 00:16:30+02:00,2022-06-13 06:47:30+02:00,391,34.32,129.62,188.06,0.36,0.7
2022-06-14 00:29:00+02:00,2022-06-14 07:50:00+02:00,441,34.49,184.56,250.62,0.36,0.69
2022-06-15 00:24:30+02:00,2022-06-15 07:04:00+02:00,399,35.35,478.65,649.44,0.49,0.73
2022-06-16 02:37:00+02:00,2022-06-16 07:46:00+02:00,309,33.6,-145.92,122.46,0.5,0.74
2022-06-16 23:14:30+02:00,2022-06-17 07:30:30+02:00,496,34.72,278.39,465.02,0.5,0.75
2022-06-17 23:43:30+02:00,2022-06-18 07:57:00+02:00,493,34.48,144.14,286.06,0.49,0.74
2022-06-19 01:05:00+02:00,2022-06-19 07:55:00+02:00,410,32.76,-571.35,1035.36,0.59,0.86
2022-06-20 00:44:00+02:00,2022-06-20 08:52:00+02:00,488,33.32,-363.88,505.61,0.6,0.88
2022-06-21 00:15:00+02:00,2022-06-21 08:19:30+02:00,485,33.47,-247.17,532.14,0.6,0.9
2022-06-22 01:49:30+02:00,2022-06-22 09:50:00+02:00,480,32.91,-510.83,1330.82,0.64,0.97
