start_sleep,end_sleep,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
2022-05-21 00:10:30+02:00,2022-05-21 06:36:30+02:00,386,33.19,-0.0,99.03,0.32,0.51
2022-05-22 00:38:30+02:00,2022-05-22 09:32:30+02:00,534,33.05,-36.37,380.86,0.26,0.72
2022-05-23 00:04:30+02:00,2022-05-23 06:41:30+02:00,397,32.69,-145.54,578.31,0.29,0.89
2022-05-23 23:58:00+02:00,2022-05-24 06:12:00+02:00,374,33.16,20.37,464.68,0.26,0.94
2022-05-25 00:14:00+02:00,2022-05-25 06:41:30+02:00,388,32.47,-225.1,816.16,0.32,1.04
2022-05-26 00:44:00+02:00,2022-05-26 06:31:00+02:00,346,33.71,207.7,951.2,0.4,1.16
2022-05-27 00:21:00+02:00,2022-05-27 06:36:30+02:00,376,33.12,0.0,291.6,0.37,1.13
2022-05-28 00:39:00+02:00,2022-05-28 09:13:00+02:00,513,33.49,179.19,510.37,0.38,1.11
2022-05-29 00:08:00+02:00,2022-05-29 07:18:30+02:00,431,33.44,120.11,424.45,0.37,1.1
2022-05-29 23:48:00+02:00,2022-05-30 06:02:00+02:00,373,33.83,243.17,359.58,0.41,1.08
2022-05-30 22:50:00+02:00,2022-05-31 06:45:30+02:00,476,33.16,-2.23,184.97,0.39,1.05
2022-05-31 23:50:00+02:00,2022-06-01 06:05:30+02:00,376,33.03,-46.86,121.11,0.38,1.02
2022-05-31 23:50:00+02:00,2022-06-01 06:05:30+02:00,376,33.03,-46.86,121.11,0.38,1.02
