start_sleep,end_sleep,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
2022-05-21 00:12:00+02:00,2022-05-21 09:42:30+02:00,570,33.75,287.7,395.1,0.47,0.66
2022-05-21 23:58:00+02:00,2022-05-22 08:17:00+02:00,499,33.48,59.49,331.62,0.4,0.76
2022-05-22 23:19:00+02:00,2022-05-23 07:47:00+02:00,508,33.72,121.06,229.02,0.39,0.72
2022-05-23 22:50:30+02:00,2022-05-24 07:41:00+02:00,530,33.53,12.25,524.38,0.35,0.81
2022-05-24 23:38:00+02:00,2022-05-25 07:55:30+02:00,486,33.12,-174.88,368.31,0.34,0.84
2022-05-25 23:20:00+02:00,2022-05-26 07:33:00+02:00,493,33.03,-167.17,399.06,0.34,0.85
2022-05-26 22:58:30+02:00,2022-05-27 07:05:00+02:00,486,32.9,-167.88,492.7,0.35,0.88
2022-05-27 23:17:30+02:00,2022-05-28 08:07:00+02:00,529,33.74,200.41,285.04,0.36,0.86
2022-05-28 23:44:00+02:00,2022-05-29 09:45:00+02:00,601,33.52,23.34,337.4,0.35,0.84
2022-05-29 23:45:00+02:00,2022-05-30 07:46:00+02:00,481,33.93,203.33,199.73,0.37,0.83
2022-05-30 23:08:00+02:00,2022-05-31 07:48:00+02:00,520,33.94,217.82,254.29,0.38,0.81
