start_sleep,end_sleep,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
2022-05-21 03:11:00+02:00,2022-05-21 09:35:30+02:00,377,33.76,-27.65,164.3,0.29,0.66
2022-05-21 23:55:00+02:00,2022-05-22 08:57:30+02:00,542,33.95,32.67,222.04,0.24,0.65
2022-05-23 02:15:30+02:00,2022-05-23 09:02:30+02:00,407,33.64,-77.52,701.89,0.25,0.9
2022-05-23 23:50:30+02:00,2022-05-24 08:48:00+02:00,537,34.02,68.38,115.72,0.23,0.8
2022-05-25 00:36:00+02:00,2022-05-25 09:00:30+02:00,505,34.28,164.84,327.46,0.25,0.8
2022-05-26 00:11:00+02:00,2022-05-26 08:54:30+02:00,524,33.6,-153.73,325.59,0.27,0.8
2022-05-27 01:09:00+02:00,2022-05-27 08:58:30+02:00,470,33.18,-306.53,379.48,0.35,0.81
2022-05-28 05:42:30+02:00,2022-05-28 09:29:00+02:00,226,34.94,236.3,344.8,0.48,0.85
2022-05-29 00:56:00+02:00,2022-05-29 09:08:30+02:00,493,33.81,-11.34,112.31,0.46,0.81
2022-05-30 00:59:00+02:00,2022-05-30 08:50:30+02:00,472,33.77,-22.91,249.6,0.44,0.8
2022-05-31 00:32:00+02:00,2022-05-31 09:25:30+02:00,534,33.57,-125.2,313.67,0.43,0.8
