start_sleep,end_sleep,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
2022-06-09 23:46:00+02:00,2022-06-10 07:32:30+02:00,466,33.43,77.6,166.54,0.22,0.57
2022-06-11 00:24:00+02:00,2022-06-11 08:07:30+02:00,464,33.64,131.67,237.48,0.27,0.62
2022-06-12 03:04:00+02:00,2022-06-12 09:05:00+02:00,361,33.09,-62.61,187.83,0.26,0.67
2022-06-12 23:16:00+02:00,2022-06-13 07:21:30+02:00,479,33.52,82.7,505.28,0.25,0.78
2022-06-14 00:15:30+02:00,2022-06-14 07:12:00+02:00,416,33.74,126.66,186.82,0.28,0.75
2022-06-14 23:24:30+02:00,2022-06-15 06:56:30+02:00,452,34.12,291.44,350.9,0.37,0.75
2022-06-15 23:01:00+02:00,2022-06-16 06:11:30+02:00,431,34.43,391.33,427.05,0.47,0.75
2022-06-16 22:19:00+02:00,2022-06-17 06:01:30+02:00,463,34.27,321.88,475.11,0.49,0.76
2022-06-17 23:29:00+02:00,2022-06-18 06:30:30+02:00,422,33.92,118.69,223.63,0.47,0.75
2022-06-18 22:43:00+02:00,2022-06-19 07:25:30+02:00,519,33.98,153.15,235.3,0.46,0.73
2022-06-19 23:22:30+02:00,2022-06-20 07:31:30+02:00,489,33.63,-3.63,221.65,0.44,0.74
2022-06-20 23:01:00+02:00,2022-06-21 07:04:30+02:00,483,33.68,11.37,115.29,0.42,0.72
