start_sleep,end_sleep,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
2022-06-06 00:24:00+02:00,2022-06-06 08:13:00+02:00,469,33.72,-68.53,110.36,0.22,0.46
2022-06-07 00:00:00+02:00,2022-06-07 08:16:30+02:00,497,34.09,53.67,120.43,0.2,0.49
2022-06-08 00:15:30+02:00,2022-06-08 08:11:30+02:00,465,34.57,223.9,205.83,0.32,0.53
2022-06-09 01:46:00+02:00,2022-06-09 09:18:30+02:00,453,34.26,61.47,226.84,0.3,0.58
2022-06-10 00:51:00+02:00,2022-06-10 08:46:30+02:00,476,34.18,12.11,224.16,0.27,0.6
2022-06-11 00:34:30+02:00,2022-06-11 08:33:00+02:00,478,34.03,-44.05,218.23,0.25,0.62
2022-06-12 01:14:00+02:00,2022-06-12 08:38:30+02:00,445,34.44,124.84,434.05,0.26,0.68
2022-06-13 01:07:00+02:00,2022-06-13 08:05:00+02:00,418,33.46,-275.42,523.04,0.33,0.75
2022-06-14 00:21:30+02:00,2022-06-14 08:03:00+02:00,461,34.12,0.0,691.99,0.31,0.81
2022-06-15 00:18:00+02:00,2022-06-15 08:01:30+02:00,464,34.48,159.95,517.04,0.32,0.84
2022-06-16 00:01:00+02:00,2022-06-16 07:32:30+02:00,452,33.92,-90.35,597.48,0.31,0.87
2022-06-17 00:33:00+02:00,2022-06-17 08:32:30+02:00,480,34.45,149.44,301.47,0.31,0.86
2022-06-18 00:28:30+02:00,2022-06-18 08:56:30+02:00,508,33.54,-290.18,498.63,0.34,0.88
2022-06-19 01:23:00+02:00,2022-06-19 08:05:30+02:00,403,34.29,60.61,143.82,0.33,0.86
2022-06-19 23:37:30+02:00,2022-06-20 08:01:00+02:00,503,33.9,-108.75,690.37,0.32,0.89
2022-06-20 23:55:00+02:00,2022-06-21 07:28:30+02:00,454,34.01,-41.26,161.49,0.31,0.87
2022-06-22 01:09:30+02:00,2022-06-22 09:29:30+02:00,492,33.97,-55.59,386.95,0.3,0.87
2022-06-22 23:23:00+02:00,2022-06-23 07:35:30+02:00,493,33.84,-106.94,212.63,0.3,0.86
