start_sleep,end_sleep,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
2022-05-20 00:33:00+02:00,2022-05-20 07:25:30+02:00,405,33.18,13.81,136.37,0.11,0.58
2022-05-21 00:38:30+02:00,2022-05-21 06:23:30+02:00,345,33.69,183.39,773.98,0.31,1.07
2022-05-22 01:15:00+02:00,2022-05-22 07:59:30+02:00,405,33.15,0.0,147.89,0.27,0.94
2022-05-24 00:20:00+02:00,2022-05-24 09:52:30+02:00,567,33.02,-74.33,637.89,0.26,0.99
2022-05-25 01:29:30+02:00,2022-05-25 06:49:00+02:00,319,32.98,-52.84,229.95,0.25,0.97
2022-05-26 03:05:00+02:00,2022-05-26 11:00:30+02:00,471,31.8,-601.56,1066.95,0.53,1.07
2022-05-27 02:12:30+02:00,2022-05-27 06:27:00+02:00,254,32.12,-228.58,329.92,0.58,1.06
2022-05-27 23:39:00+02:00,2022-05-28 09:53:30+02:00,615,32.22,-475.19,767.34,0.58,1.04
2022-05-29 02:09:30+02:00,2022-05-29 11:40:00+02:00,570,32.83,-84.96,530.79,0.55,1.03
2022-05-30 02:16:30+02:00,2022-05-30 09:50:30+02:00,454,32.96,-7.25,238.34,0.53,1.01
2022-05-30 21:17:00+02:00,2022-05-31 06:11:30+02:00,535,32.51,-248.84,530.68,0.52,0.99
2022-06-01 04:26:30+02:00,2022-06-01 09:47:30+02:00,310,32.99,4.14,249.39,0.5,0.99
2022-06-01 04:26:30+02:00,2022-06-01 09:47:30+02:00,310,32.99,4.14,249.39,0.5,0.99
2022-06-02 00:02:00+02:00,2022-06-02 09:01:00+02:00,539,32.28,-376.0,404.53,0.5,0.96
