timestamp,activity_name,average_heart_rate,duration,active_duration,calories,steps,sedentary_minutes,_lightly_active_minutes,fairly_active_minutes,very_active_minutes,out_of_range_minutes,out_of_range_minimum_heart_rate,out_of_range_maximum_heart_rate,out_of_range_calories,fat_burn_minutes,fat_burn_minimum_heart_rate,fat_burn_maximum_heart_rate,fat_burn_calories,cardio_minutes,cardio_minimum_heart_rate,cardio_maximum_heart_rate,cardio_calories,peak_minutes,peak_minimum_heart_rate,peak_maximum_heart_rate,peak_calories
2022-05-17 10:23:46+02:00,Walk,86,20.5,20.5,140,1916,0,2,7,12,20,30,103,140.43,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-17 12:15:37+02:00,Walk,80,22.33,22.33,146,1970,0,4,8,10,22,30,103,146.41,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-17 18:18:28+02:00,Walk,101,36.0,36.0,284,3906,0,2,4,30,29,30,103,220.7,7,103,128,63.04,0,0,0,0,0,0,0,0
2022-05-17 19:32:52+02:00,Walk,92,18.95,18.95,130,1577,0,3,3,12,18,30,103,129.79,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-18 11:43:26+02:00,Walk,86,31.57,31.57,203,3102,0,5,11,15,31,30,101,202.88,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-18 12:49:59+02:00,Walk,87,15.37,15.37,108,1525,0,1,5,9,15,30,101,107.78,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-18 17:40:08+02:00,Walk,85,41.03,41.03,279,3493,0,2,25,14,39,30,101,266.51,2,101,127,12.68,0,0,0,0,0,0,0,0
2022-05-18 19:55:53+02:00,Walk,85,38.4,38.4,222,2571,4,9,8,17,38,30,101,221.9,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-18 21:50:13+02:00,Walk,94,21.35,21.35,145,1797,1,3,2,15,21,30,101,144.74,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-19 09:51:31+02:00,Workout,98,98.98,98.98,755,6121,2,8,19,69,58,30,101,422.62,40,101,126,332.07,0,0,0,0,0,0,0,0
2022-05-19 12:09:45+02:00,Walk,88,135.8,135.8,815,11928,4,29,67,35,134,30,101,809.23,1,101,126,5.98,0,0,0,0,0,0,0,0
2022-05-20 09:23:13+02:00,Walk,94,17.97,17.97,145,1853,0,0,3,15,14,30,101,118.42,3,101,127,27.03,0,0,0,0,0,0,0,0
2022-05-20 14:44:19+02:00,Walk,88,20.8,20.8,144,1913,0,1,8,11,19,30,101,137.44,1,101,127,6.94,0,0,0,0,0,0,0,0
2022-05-21 11:28:35+02:00,Walk,85,17.07,17.07,119,1527,0,2,5,10,17,30,101,119.14,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-21 12:07:50+02:00,Walk,81,17.22,17.22,113,1496,1,1,7,8,17,30,101,113.28,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-21 22:55:43+02:00,Walk,79,26.53,26.53,166,2139,0,6,16,5,26,30,101,166.03,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-22 10:23:45+02:00,Walk,93,34.98,34.98,290,3251,0,0,4,30,32,30,101,272.37,2,101,127,17.7,0,0,0,0,0,0,0,0
2022-05-22 11:21:46+02:00,Walk,92,42.67,42.67,340,3998,0,2,5,36,40,30,101,328.0,2,101,127,11.72,0,0,0,0,0,0,0,0
2022-05-22 12:30:06+02:00,Walk,89,78.52,78.52,506,6852,6,11,22,39,76,30,101,491.16,2,101,127,14.59,0,0,0,0,0,0,0,0
2022-05-22 13:48:37+02:00,Workout,81,40.1,40.1,198,3053,1,31,6,2,40,30,101,197.97,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-22 14:28:43+02:00,Walk,85,73.38,73.38,414,7439,1,40,22,10,73,30,101,414.36,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-22 18:43:53+02:00,Walk,96,40.1,40.1,322,4314,0,1,5,34,32,30,101,251.92,8,101,127,69.62,0,0,0,0,0,0,0,0
