timestamp,rmssd,nrem_hr,entropy
2022-06-03 00:00:00+02:00,23.02,57.7,2.77
2022-06-04 00:00:00+02:00,25.09,54.13,2.29
2022-06-05 00:00:00+02:00,18.66,57.7,2.56
2022-06-06 00:00:00+02:00,22.36,53.64,2.83
2022-06-07 00:00:00+02:00,22.8,53.48,2.61
2022-06-08 00:00:00+02:00,19.64,56.33,2.69
2022-06-09 00:00:00+02:00,18.43,60.92,2.67
2022-06-10 00:00:00+02:00,22.69,55.3,2.81
2022-06-11 00:00:00+02:00,19.46,59.94,2.76
2022-06-12 00:00:00+02:00,19.04,53.59,2.87
2022-06-13 00:00:00+02:00,23.4,52.97,2.83
2022-06-14 00:00:00+02:00,18.39,56.94,2.57
2022-06-15 00:00:00+02:00,20.47,55.35,2.55
2022-06-16 00:00:00+02:00,18.56,55.55,2.64
2022-06-17 00:00:00+02:00,19.28,56.66,3.01
2022-06-18 00:00:00+02:00,21.13,54.92,2.57
2022-06-19 00:00:00+02:00,22.54,59.4,2.76
2022-06-20 00:00:00+02:00,21.89,64.28,3.07
2022-06-21 00:00:00+02:00,24.33,55.63,2.69
