timestamp,rmssd,nrem_hr,entropy
2022-05-19 00:00:00+02:00,22.9,60.01,2.93
2022-05-20 00:00:00+02:00,31.64,54.73,2.69
2022-05-21 00:00:00+02:00,34.39,52.82,2.98
2022-05-22 00:00:00+02:00,32.84,54.66,2.74
2022-05-23 00:00:00+02:00,27.95,55.44,2.73
2022-05-24 00:00:00+02:00,30.94,52.88,2.66
2022-05-25 00:00:00+02:00,30.36,51.81,2.76
2022-05-26 00:00:00+02:00,34.01,51.35,2.69
2022-05-27 00:00:00+02:00,35.68,51.57,2.8
2022-05-28 00:00:00+02:00,27.69,55.3,2.99
2022-05-29 00:00:00+02:00,22.66,61.27,2.79
2022-05-30 00:00:00+02:00,22.73,60.2,2.22
2022-05-31 00:00:00+02:00,20.01,59.83,2.58
