timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-06-03 07:16:30+02:00,14.6,1.3,6.41,14.6,1.3,6.41,14.2,1.8,7.84,14.6,0.8,7.62
2022-06-04 08:21:00+02:00,14.6,1.0,7.79,14.6,1.0,7.79,14.2,1.3,6.77,13.8,1.8,7.31
2022-06-05 09:43:30+02:00,15.0,1.2,7.09,15.0,1.2,7.09,15.0,1.2,8.13,15.4,1.8,8.64
2022-06-06 06:42:30+02:00,14.4,1.0,6.93,14.4,1.0,6.93,14.0,1.0,7.31,13.2,1.2,5.14
2022-06-07 07:17:30+02:00,15.6,1.5,6.28,15.6,1.5,6.28,15.0,1.1,7.01,14.2,1.1,3.56
2022-06-08 07:06:30+02:00,15.2,1.2,8.6,15.2,1.2,8.6,14.2,1.4,6.74,14.0,1.5,8.81
2022-06-09 07:52:30+02:00,14.8,1.0,7.52,14.8,1.0,7.52,14.0,1.1,7.92,13.4,1.2,8.01
2022-06-10 07:31:30+02:00,15.0,1.0,7.56,15.0,1.0,7.56,13.8,1.2,4.08,11.6,0.9,4.23
2022-06-11 07:41:00+02:00,15.0,1.1,8.85,15.0,1.1,8.85,13.6,1.3,5.81,14.2,1.8,4.76
2022-06-12 07:46:00+02:00,14.6,1.3,5.39,14.6,1.3,5.39,14.6,1.4,5.97,14.4,2.2,5.01
2022-06-13 07:57:00+02:00,14.8,1.0,4.73,14.8,1.0,4.73,14.0,1.3,6.26,-1.0,0.0,2.12
2022-06-14 07:30:30+02:00,14.4,1.3,7.92,14.4,1.3,7.92,14.2,1.4,6.72,14.0,1.7,8.61
2022-06-15 07:13:30+02:00,14.8,1.2,4.44,14.8,1.2,4.44,14.2,1.0,6.04,14.2,0.5,2.87
2022-06-16 07:05:30+02:00,14.4,1.1,7.6,14.4,1.1,7.6,14.2,1.3,5.83,13.4,1.9,7.32
2022-06-17 06:52:30+02:00,14.0,0.9,6.83,14.0,0.9,6.83,14.2,1.1,7.25,13.4,1.2,5.32
2022-06-18 08:46:00+02:00,13.4,1.0,12.18,13.4,1.0,12.18,14.2,0.8,6.5,-1.0,0.0,2.48
2022-06-19 09:27:00+02:00,15.8,1.2,7.21,15.8,1.2,7.21,15.0,1.6,5.45,15.0,1.7,5.64
2022-06-20 07:13:30+02:00,15.0,1.0,5.38,15.0,1.0,5.38,14.2,1.1,8.84,-1.0,0.0,1.94
2022-06-21 07:00:00+02:00,14.0,1.1,6.51,14.0,1.1,6.51,14.6,1.1,5.82,14.4,0.7,4.83
