timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-06-08 07:07:00+02:00,14.4,0.5,2.92,14.4,0.5,2.92,14.6,1.3,3.96,18.6,0.6,3.03
2022-06-09 07:13:30+02:00,13.4,1.2,6.45,-1.0,0.0,2.12,13.4,1.2,6.45,12.6,0.8,3.43
2022-06-10 07:32:30+02:00,13.0,0.8,6.72,14.0,0.9,3.23,13.0,0.8,6.72,-1.0,0.0,1.5
2022-06-11 04:12:00+02:00,12.0,0.7,7.63,14.4,0.4,3.06,12.0,0.7,7.63,-1.0,0.0,1.9
2022-06-11 06:26:30+02:00,12.2,0.8,6.27,14.4,0.5,2.93,12.2,0.8,6.27,-1.0,0.0,1.8
2022-06-11 08:07:30+02:00,12.4,1.0,6.58,-1.0,0.0,1.64,12.4,1.0,6.58,-1.0,0.0,1.65
2022-06-12 07:25:00+02:00,17.2,0.7,2.76,17.2,0.7,2.76,14.0,1.1,2.96,-1.0,0.0,1.72
2022-06-12 09:05:00+02:00,17.2,0.7,2.76,17.2,0.7,2.76,-1.0,0.0,2.02,-1.0,0.0,1.4
2022-06-13 07:21:30+02:00,13.2,0.8,9.42,-1.0,0.0,2.24,13.2,0.8,9.42,-1.0,0.0,1.63
2022-06-14 07:12:00+02:00,23.2,0.6,3.08,23.2,0.6,3.08,13.6,1.2,3.39,-1.0,0.0,1.49
2022-06-15 06:56:30+02:00,15.4,0.6,2.9,15.4,0.6,2.9,16.2,0.5,2.61,-1.0,0.0,1.7
2022-06-16 03:29:30+02:00,14.4,0.8,5.71,14.4,0.8,5.71,15.4,1.4,5.4,15.0,0.6,3.0
2022-06-16 06:11:30+02:00,15.0,1.3,4.37,14.4,0.8,3.06,15.0,1.3,4.37,15.0,0.6,3.0
2022-06-17 06:01:30+02:00,29.8,0.1,3.42,-1.0,0.0,2.49,29.8,0.1,3.42,-1.0,0.0,1.19
2022-06-18 06:30:30+02:00,15.0,1.4,4.9,16.0,0.7,3.59,15.0,1.4,4.9,-1.0,0.0,1.31
2022-06-19 07:25:30+02:00,15.4,1.5,4.07,16.4,0.6,2.64,15.4,1.5,4.07,-1.0,0.0,1.94
2022-06-20 07:31:30+02:00,14.6,2.3,8.33,-1.0,0.0,1.71,14.6,2.3,8.33,-1.0,0.0,1.61
2022-06-21 03:26:30+02:00,15.4,0.8,6.31,15.4,0.8,6.31,13.8,1.6,4.2,16.6,2.3,4.2
2022-06-21 07:04:30+02:00,13.6,1.6,5.91,15.4,0.7,3.02,13.6,1.6,5.91,-1.0,0.0,2.14
