timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-06-03 06:39:00+02:00,14.6,2.3,8.93,-1.0,0.0,2.18,14.6,2.3,8.93,13.0,2.6,5.04
2022-06-04 08:01:30+02:00,16.0,1.8,5.37,16.0,1.8,5.37,14.2,2.2,5.63,14.4,0.7,2.68
2022-06-05 08:58:30+02:00,14.6,1.3,5.03,14.6,1.3,5.03,14.4,1.7,7.13,13.0,0.6,2.93
2022-06-06 07:55:00+02:00,14.2,1.8,6.05,15.2,1.9,3.15,14.2,1.8,6.05,13.2,2.6,3.69
2022-06-07 08:01:30+02:00,15.2,1.9,5.0,15.2,1.9,5.0,14.2,2.0,6.86,-1.0,0.0,2.46
2022-06-08 07:16:30+02:00,13.0,1.7,6.9,13.0,1.7,6.9,12.6,2.4,5.63,12.0,2.2,4.04
2022-06-09 08:10:00+02:00,14.2,2.1,4.84,15.2,1.2,3.15,14.2,2.1,4.84,12.4,0.5,3.68
2022-06-10 06:23:30+02:00,14.4,1.7,4.6,14.4,1.7,4.6,17.2,0.7,3.57,12.2,2.6,2.95
2022-06-11 08:41:30+02:00,14.2,1.3,4.92,14.2,1.3,4.92,13.6,2.3,3.78,10.0,1.5,3.6
2022-06-12 08:41:00+02:00,12.4,2.3,5.07,-1.0,0.0,0.0,12.4,2.3,5.07,13.2,1.4,3.31
2022-06-13 07:38:00+02:00,15.4,1.3,4.95,15.4,1.3,4.95,25.2,0.4,2.63,12.4,0.9,3.18
2022-06-14 08:26:30+02:00,13.8,1.3,4.23,13.8,1.3,4.23,13.0,1.7,5.94,12.0,0.6,3.34
2022-06-15 08:17:30+02:00,12.4,3.3,4.54,14.8,1.2,2.89,12.4,3.3,4.54,12.8,1.2,2.99
2022-06-16 07:42:30+02:00,15.6,0.8,4.41,15.6,0.8,4.41,14.2,2.1,4.63,14.2,2.2,4.96
2022-06-17 07:21:00+02:00,12.4,1.5,4.13,12.4,1.5,4.13,13.6,2.4,5.35,13.0,1.5,3.57
2022-06-18 08:51:30+02:00,14.2,2.1,5.92,14.2,2.1,5.92,13.2,1.8,6.08,11.6,0.9,2.51
2022-06-19 08:20:00+02:00,14.4,2.2,5.77,15.6,0.6,2.76,14.4,2.2,5.77,11.2,0.5,3.0
2022-06-20 08:43:30+02:00,14.8,2.2,7.91,14.8,2.2,7.91,13.0,2.6,6.26,10.8,1.5,3.14
2022-06-21 08:00:00+02:00,15.2,1.8,4.1,15.2,1.8,4.1,13.6,1.9,9.36,12.4,2.9,4.66
