timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-06-03 08:02:30+02:00,15.2,1.4,14.79,15.2,1.4,14.79,14.4,1.9,13.98,13.8,2.9,6.94
2022-06-04 08:28:00+02:00,16.6,1.0,12.84,16.6,1.0,12.84,15.6,1.8,15.06,14.4,2.2,5.58
2022-06-05 04:39:00+02:00,15.6,1.0,9.24,-1.0,0.0,0.0,15.6,1.0,9.24,14.0,2.5,5.55
2022-06-06 07:45:00+02:00,15.6,0.9,9.11,15.6,0.9,9.11,14.8,1.6,16.78,14.0,2.4,10.84
2022-06-07 09:10:30+02:00,15.2,1.6,15.63,15.2,1.6,15.63,14.8,2.2,16.39,14.2,2.5,11.23
2022-06-08 07:46:00+02:00,16.2,1.2,13.05,16.2,1.2,13.05,15.8,1.7,11.77,15.4,2.4,10.17
2022-06-09 07:39:00+02:00,15.6,1.5,9.21,15.6,1.5,9.21,14.2,1.7,15.27,14.4,1.8,9.04
2022-06-10 07:48:30+02:00,16.0,1.2,9.38,16.0,1.2,9.38,15.4,1.6,9.54,14.6,2.0,6.23
2022-06-13 07:24:30+02:00,16.2,1.1,11.33,16.2,1.1,11.33,16.4,1.4,14.64,16.2,2.4,9.31
2022-06-14 07:21:30+02:00,16.2,1.2,4.22,16.2,1.2,4.22,15.6,1.6,15.94,14.6,2.0,7.35
2022-06-15 07:38:30+02:00,16.2,1.5,6.06,16.2,1.5,6.06,15.6,1.5,15.06,16.2,1.6,4.5
2022-06-16 07:37:30+02:00,15.8,1.3,10.46,15.8,1.3,10.46,15.6,1.9,10.2,15.0,2.3,8.38
2022-06-18 07:54:00+02:00,17.0,1.0,12.06,17.0,1.0,12.06,16.0,1.6,17.14,15.8,1.5,9.14
