timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-06-07 09:00:00+02:00,14.0,1.6,7.13,14.0,1.6,7.13,13.2,1.7,10.84,-1.0,0.0,2.35
2022-06-08 08:49:00+02:00,13.8,1.1,8.43,13.8,1.1,8.43,13.8,1.3,11.21,13.2,2.0,3.37
2022-06-09 07:10:00+02:00,13.4,1.7,5.3,14.4,0.4,2.71,13.4,1.7,5.3,0.6,0.4,2.51
2022-06-10 08:57:00+02:00,14.4,1.6,5.09,14.4,1.6,5.09,13.8,2.0,8.81,12.4,2.9,4.14
2022-06-11 10:25:30+02:00,14.0,0.8,8.52,14.0,0.8,8.52,13.2,1.6,11.86,12.2,2.2,3.21
2022-06-12 09:51:00+02:00,14.2,1.7,4.26,14.2,1.7,4.26,13.8,2.1,5.75,13.2,2.5,2.9
2022-06-13 09:10:00+02:00,13.8,0.8,5.19,13.8,0.8,5.19,14.0,2.0,6.83,0.6,0.4,3.13
2022-06-14 07:23:30+02:00,13.8,1.7,7.0,13.0,0.7,3.67,13.8,1.7,7.0,12.2,2.4,3.32
2022-06-15 09:06:30+02:00,13.0,0.7,5.45,13.0,0.7,5.45,13.4,1.7,12.19,12.4,1.7,3.09
2022-06-16 07:09:00+02:00,13.2,1.9,5.51,-1.0,0.0,0.0,13.2,1.9,5.51,11.6,2.3,2.67
2022-06-17 07:03:00+02:00,14.2,1.7,6.81,14.2,1.7,6.81,14.2,2.0,7.37,14.0,3.1,3.74
2022-06-18 08:02:30+02:00,14.0,1.9,5.7,-1.0,0.0,0.0,14.0,1.9,5.7,-1.0,0.0,2.41
2022-06-19 11:02:30+02:00,14.2,1.3,5.97,14.2,1.3,5.97,13.8,1.3,8.92,14.0,3.4,2.66
2022-06-20 08:03:00+02:00,13.8,2.2,4.72,13.4,0.7,2.99,13.8,2.2,4.72,12.4,1.5,2.88
