timestamp,resting_heart_rate,altitude,calories,steps,distance,minutes_below_default_zone_1,minutes_in_default_zone_1,minutes_in_default_zone_2,minutes_in_default_zone_3
2022-06-06 00:00:00+02:00,71.0,70.0,3061.64,11454.0,689040.0,351.0,255.0,35.0,0.0
2022-06-07 00:00:00+02:00,65.49,210.0,3355.81,14052.0,1047330.0,1153.0,244.0,1.0,0.0
2022-06-08 00:00:00+02:00,63.67,100.0,3215.16,13926.0,934950.0,1201.0,136.0,7.0,0.0
2022-06-09 00:00:00+02:00,62.38,180.0,3207.57,11823.0,823850.0,1209.0,197.0,6.0,0.0
2022-06-10 00:00:00+02:00,61.44,70.0,3536.22,14109.0,813150.0,851.0,238.0,25.0,0.0
2022-06-11 00:00:00+02:00,63.37,260.0,3467.39,16298.0,1215150.0,1201.0,216.0,1.0,0.0
2022-06-12 00:00:00+02:00,62.47,580.0,3800.74,18710.0,1393590.0,1122.0,246.0,32.0,16.0
2022-06-13 00:00:00+02:00,62.21,110.0,3542.4,14604.0,966940.0,1117.0,289.0,1.0,0.0
2022-06-14 00:00:00+02:00,61.82,200.0,3180.04,12063.0,899120.0,1230.0,175.0,0.0,0.0
2022-06-15 00:00:00+02:00,60.89,90.0,3144.39,11158.0,829310.0,1167.0,210.0,0.0,0.0
2022-06-16 00:00:00+02:00,60.04,50.0,3125.49,10405.0,774540.0,1262.0,162.0,1.0,0.0
2022-06-17 00:00:00+02:00,58.76,130.0,4073.07,16929.0,995250.0,1114.0,227.0,38.0,0.0
2022-06-18 00:00:00+02:00,60.25,60.0,3538.68,13120.0,977620.0,1123.0,262.0,0.0,0.0
2022-06-19 00:00:00+02:00,60.96,10.0,2984.29,10423.0,776260.0,1318.0,43.0,0.0,0.0
2022-06-20 00:00:00+02:00,60.5,100.0,3050.97,10840.0,733040.0,1062.0,133.0,2.0,0.0
