timestamp,demographic_vo2_max,demographic_vo2_max_error,filtered_demographic_vo2_max,filtered_demographic_vo2_max_error
2022-06-07 02:00:00+02:00,47.72,3.0,47.72,3.0
2022-06-08 02:00:00+02:00,48.43,3.0,48.08,1.51
2022-06-09 02:00:00+02:00,48.85,3.0,48.34,1.03
2022-06-10 02:00:00+02:00,48.62,3.0,48.42,0.79
2022-06-11 02:00:00+02:00,48.5,3.0,48.43,0.66
2022-06-12 02:00:00+02:00,48.72,3.0,48.49,0.57
2022-06-13 02:00:00+02:00,48.07,3.0,48.42,0.52
2022-06-14 02:00:00+02:00,48.14,3.0,48.37,0.48
2022-06-15 02:00:00+02:00,48.18,3.0,48.35,0.45
2022-06-16 02:00:00+02:00,47.39,3.0,48.21,0.43
2022-06-17 02:00:00+02:00,47.48,3.0,48.11,0.41
2022-06-18 02:00:00+02:00,47.67,3.0,48.05,0.4
2022-06-19 02:00:00+02:00,47.51,3.0,47.98,0.39
2022-06-20 02:00:00+02:00,47.57,3.0,47.93,0.38
2022-06-21 02:00:00+02:00,47.56,3.0,47.88,0.38
2022-06-22 02:00:00+02:00,47.97,3.0,47.89,0.38
